accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_acc,prec_at_rec_0.2,prec_at_rec_0.4,prec_at_rec_0.6,alpha,threshold_oracle,oracle_f1_at_best_th,kind,seed
0.6603603603603604,0.16030534351145037,0.5727272727272728,0.2504970178926441,0.6524818181818182,0.1564949424069062,0.6213636363636363,0.1895734597156398,0.17391304347826086,0.15207373271889402,0.30000000000000004,0.35,0.2504970178926441,ood_oracle_analysis_only,44
0.6531531531531531,0.1571072319201995,0.5727272727272728,0.2465753424657534,0.6508181818181819,0.1579634916699833,0.6173636363636363,0.19069767441860466,0.17254901960784313,0.14945054945054945,0.35000000000000003,0.32499999999999996,0.2465753424657534,ood_oracle_analysis_only,44
0.6432432432432432,0.1529126213592233,0.5727272727272728,0.2413793103448276,0.6483,0.15693643195836188,0.6118636363636364,0.1889400921658986,0.16923076923076924,0.14847161572052403,0.4,0.3,0.2413793103448276,ood_oracle_analysis_only,44
0.636936936936937,0.15035799522673032,0.5727272727272728,0.2381852551984877,0.6451181818181819,0.15361348559188043,0.6083636363636364,0.18248175182481752,0.1644295302013423,0.14855875831485588,0.45,0.27499999999999997,0.2381852551984877,ood_oracle_analysis_only,44
0.6351351351351351,0.1496437054631829,0.5727272727272728,0.23728813559322035,0.6412,0.14899442289945886,0.6073636363636363,0.18110236220472442,0.16363636363636364,0.14692982456140352,0.5,0.25,0.23728813559322035,ood_oracle_analysis_only,44
0.6315315315315315,0.14823529411764705,0.5727272727272728,0.23551401869158878,0.6379818181818181,0.14532058430216205,0.6053636363636363,0.1729957805907173,0.16541353383458646,0.14596949891067537,0.55,0.22499999999999998,0.23551401869158878,ood_oracle_analysis_only,44
0.627927927927928,0.14685314685314685,0.5727272727272728,0.23376623376623376,0.6354090909090909,0.14260124069866917,0.6033636363636363,0.1700404858299595,0.16176470588235295,0.14498933901918976,0.6000000000000001,0.2,0.23376623376623376,ood_oracle_analysis_only,44
0.6207207207207207,0.14416475972540047,0.5727272727272728,0.2303473491773309,0.632090909090909,0.13931171126171435,0.5993636363636363,0.16744186046511628,0.15942028985507245,0.1440677966101695,0.65,0.175,0.2303473491773309,ood_oracle_analysis_only,44
0.6981981981981982,0.15384615384615385,0.45454545454545453,0.22988505747126436,0.6289363636363636,0.13698063347239497,0.5897727272727272,0.16589861751152074,0.15547703180212014,0.14255765199161424,0.7000000000000001,0.2,0.22988505747126436,ood_oracle_analysis_only,44
0.609009009009009,0.1415929203539823,0.5818181818181818,0.2277580071174377,0.6256454545454545,0.1349329972400334,0.5969090909090908,0.16129032258064516,0.156794425087108,0.14078674948240166,0.75,0.125,0.2277580071174377,ood_oracle_analysis_only,44
0.6594594594594595,0.14361702127659576,0.4909090909090909,0.2222222222222222,0.6211636363636364,0.13269142650422408,0.5844545454545454,0.16363636363636364,0.1541095890410959,0.13793103448275862,0.8,0.125,0.2222222222222222,ood_oracle_analysis_only,44
0.5774774774774775,0.13141683778234087,0.5818181818181818,0.21440536013400335,0.6137454545454546,0.12884908376561566,0.5794090909090909,0.15261044176706828,0.14802631578947367,0.13438735177865613,0.8500000000000001,0.075,0.21440536013400335,ood_oracle_analysis_only,44
0.5576576576576576,0.1286549707602339,0.6,0.21187800963081863,0.6015272727272727,0.12272900950321022,0.5765,0.1387900355871886,0.13793103448275862,0.13018867924528302,0.9,0.05,0.21187800963081863,ood_oracle_analysis_only,44
0.7612612612612613,0.09844559585492228,0.17272727272727273,0.1254125412541254,0.583109090909091,0.11484103218225929,0.49936363636363634,0.13002364066193853,0.13002364066193853,0.125,0.9500000000000001,0.05,0.1254125412541254,ood_oracle_analysis_only,44
0.845945945945946,0.11392405063291139,0.08181818181818182,0.09523809523809523,0.4861545454545455,0.09328840972590874,0.505909090909091,0.1071932299012694,0.1071932299012694,0.1071932299012694,1.0,0.1,0.09523809523809523,ood_oracle_analysis_only,44
